budget,policy,verdicts_per_capture,verdict_rate,verdict_accuracy,mean_captures,guaranteed,violated
1,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
1,fixed_retake,0.1175,0.1175,0.7829787234042553,1.0,True,False
1,untargeted_evidential,0.1175,0.1175,0.7829787234042553,1.0,True,False
1,evidential_capture,0.1175,0.1175,0.7829787234042553,1.0,True,False
1,oracle_instruction,0.1175,0.1175,0.7829787234042553,1.0,False,False
1,one_step_lookahead,0.1175,0.1175,0.7829787234042553,1.0,True,False
1,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
1,greedy_diagnostic,0.927,0.927,0.6591154261057174,1.0,False,False
1,naive_best_shot,0.927,0.927,0.6591154261057174,1.0,False,False
2,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
2,fixed_retake,0.15425,0.3085,0.8087520259319287,2.0,True,False
2,untargeted_evidential,0.16387782204515272,0.3085,0.8087520259319287,1.8825,True,False
2,evidential_capture,0.17237715803452855,0.3245,0.8151001540832049,1.8825,True,False
2,oracle_instruction,0.1702523240371846,0.3205,0.8143525741029641,1.8825,False,False
2,one_step_lookahead,0.17211155378486057,0.324,0.8101851851851852,1.8825,True,False
2,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
2,greedy_diagnostic,0.6119833386735021,0.955,0.7397905759162303,1.5605,False,False
2,naive_best_shot,0.26375,0.5275,0.7744075829383886,2.0,False,False
3,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
3,fixed_retake,0.15483333333333332,0.4645,0.8331539289558665,3.0,True,False
3,untargeted_evidential,0.182012432012432,0.4685,0.8260405549626467,2.574,True,False
3,evidential_capture,0.1982017200938233,0.507,0.8037475345167653,2.558,True,False
3,oracle_instruction,0.1988680718188915,0.5095,0.8047105004906772,2.562,False,False
3,one_step_lookahead,0.200703537228845,0.5135,0.7994157740993184,2.5585,True,False
3,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
3,greedy_diagnostic,0.5130434782608696,0.9735,0.7796610169491526,1.8975,False,False
3,naive_best_shot,0.1085,0.3255,0.8525345622119815,3.0,False,False
4,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
4,fixed_retake,0.146125,0.5845,0.8528656971770744,4.0,True,False
4,untargeted_evidential,0.1925615842859443,0.598,0.8377926421404682,3.1055,True,False
4,evidential_capture,0.2192723697148476,0.669,0.8146487294469357,3.051,True,False
4,oracle_instruction,0.21588861588861588,0.659,0.8148710166919575,3.0525,False,False
4,one_step_lookahead,0.21986863711001642,0.6695,0.8125466766243465,3.045,True,False
4,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
4,greedy_diagnostic,0.46539379474940334,0.975,0.8076923076923077,2.095,False,False
4,naive_best_shot,0.054125,0.2165,0.9214780600461894,4.0,False,False
6,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
6,fixed_retake,0.12291666666666666,0.7375,0.8691525423728813,6.0,True,False
6,untargeted_evidential,0.2032851511169514,0.7735,0.8409825468648998,3.805,True,False
6,evidential_capture,0.23855755894590847,0.86,0.8238372093023256,3.605,True,False
6,oracle_instruction,0.23285596254475352,0.8455,0.8225901833234772,3.631,False,False
6,one_step_lookahead,0.23925441646960635,0.86,0.8232558139534883,3.5945,True,False
6,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
6,greedy_diagnostic,0.43232013995189156,0.9885,0.8209408194233687,2.2865,False,False
6,naive_best_shot,0.020083333333333335,0.1205,0.975103734439834,6.0,False,False
8,single_shot,0.1175,0.1175,0.7829787234042553,1.0,True,False
8,fixed_retake,0.098,0.784,0.8979591836734694,8.0,True,False
8,untargeted_evidential,0.2053263583402687,0.8635,0.8413433700057904,4.2055,True,False
8,evidential_capture,0.24781645157085125,0.9505,0.8264071541294056,3.8355,True,False
8,oracle_instruction,0.23862760215882806,0.9285,0.8206785137318255,3.891,False,False
8,one_step_lookahead,0.24856096284667714,0.95,0.8247368421052632,3.822,True,False
8,confidence_threshold_selective,0.32,0.32,0.8734375,1.0,False,False
8,greedy_diagnostic,0.42019818680160237,0.9965,0.8283993978926242,2.3715,False,False
8,naive_best_shot,0.009875,0.079,0.9936708860759493,8.0,False,False
